"filename", "language", "JSON", "Python", "JavaScript", "Dotenv", "PostCSS", "Ini", "XML", "JavaScript JSX", "Markdown", "pip requirements", "HTML", "CSV", "comment", "blank", "total"
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\components\LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 8, 112
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\components\Logo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\components\RegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 4, 15, 186
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\pages\ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 2, 13, 123
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\pages\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\auth\users\api\usersApi.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 26
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\common\pages\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 6, 27, 163
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\common\pages\NotFoundPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\dashboard\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 17, 27, 276
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\emergency\api\emergencyApi.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\emergency\pages\EmergencyContactsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 8, 23, 262
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\emergency\pages\SosTriggerPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 429, 0, 0, 0, 0, 17, 32, 478
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\geospartial\api\geospatialApi.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 172
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\geospartial\components\GeospatialMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 37, 45, 474
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\geospartial\pages\IncidentsMapPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\geospartial\styles\map.css", "PostCSS", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 9, 11, 75
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incident-predictions\api\incidentPredictionsApi.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 67
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incident-predictions\components\IncidentPredictionsPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 3, 24, 280
"c:\Users\jyoti\emergecy\safetrack-frontend\src\modules\incidents\api\incidentsApi.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 73
