Date : 2026-03-12 12:04:43
Directory : c:\Users\jyoti\emergecy
Total : 201 files,  113632 codes, 1076 comments, 3148 blanks, all 117856 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\jyoti\emergecy\backend\app\models\incident_prediction.py                                                   | Python           |         45 |         10 |         14 |         69 |
| c:\Users\jyoti\emergecy\backend\app\models\prediction.py                                                            | Python           |         52 |          1 |         14 |         67 |
| c:\Users\jyoti\emergecy\backend\app\models\task.py                                                                  | Python           |         59 |          0 |         16 |         75 |
| c:\Users\jyoti\emergecy\backend\app\models\user.py                                                                  | Python           |         31 |          1 |          9 |         41 |
| c:\Users\jyoti\emergecy\backend\app\schemas\analytics.py                                                            | Python           |         18 |          0 |          9 |         27 |
| c:\Users\jyoti\emergecy\backend\app\schemas\auth.py                                                                 | Python           |          5 |          0 |          2 |          7 |
| c:\Users\jyoti\emergecy\backend\app\schemas\emergency.py                                                            | Python           |         17 |          0 |         11 |         28 |
| c:\Users\jyoti\emergecy\backend\app\schemas\geospatial.py                                                           | Python           |         14 |          1 |          5 |         20 |
| c:\Users\jyoti\emergecy\backend\app\schemas\incident.py                                                             | Python           |         29 |          1 |         11 |         41 |
| c:\Users\jyoti\emergecy\backend\app\schemas\incident_prediction.py                                                  | Python           |         30 |          1 |         10 |         41 |
| c:\Users\jyoti\emergecy\backend\app\schemas\prediction.py                                                           | Python           |         55 |          1 |         22 |         78 |
| c:\Users\jyoti\emergecy\backend\app\schemas\preparedness.py                                                         | Python           |         47 |          0 |         20 |         67 |
| c:\Users\jyoti\emergecy\backend\app\schemas\resource_prediction.py                                                  | Python           |         13 |          0 |          5 |         18 |
| c:\Users\jyoti\emergecy\backend\app\schemas\task.py                                                                 | Python           |         38 |          0 |         17 |         55 |
| c:\Users\jyoti\emergecy\backend\app\schemas\user.py                                                                 | Python           |         37 |          1 |         23 |         61 |
| c:\Users\jyoti\emergecy\backend\app\scripts\create_test_db.py                                                       | Python           |         16 |          2 |          3 |         21 |
| c:\Users\jyoti\emergecy\backend\app\services\analytics_service.py                                                   | Python           |        106 |         13 |         26 |        145 |
| c:\Users\jyoti\emergecy\backend\app\services\auth_service.py                                                        | Python           |         86 |          9 |         22 |        117 |
| c:\Users\jyoti\emergecy\backend\app\services\emergency_service.py                                                   | Python           |         82 |          9 |         24 |        115 |
| c:\Users\jyoti\emergecy\backend\app\services\geospatial_service.py                                                  | Python           |         59 |          5 |         16 |         80 |
| c:\Users\jyoti\emergecy\backend\app\services\incident_ml_service.py                                                 | Python           |         51 |          2 |         19 |         72 |
| c:\Users\jyoti\emergecy\backend\app\services\incident_service.py                                                    | Python           |         88 |          3 |         22 |        113 |
| c:\Users\jyoti\emergecy\backend\app\services\ml_service.py                                                          | Python           |        227 |         25 |         55 |        307 |
| c:\Users\jyoti\emergecy\backend\app\services\notification_service.py                                                | Python           |         36 |          2 |         13 |         51 |
| c:\Users\jyoti\emergecy\backend\app\services\preparedness_service.py                                                | Python           |         76 |          1 |         18 |         95 |
| c:\Users\jyoti\emergecy\backend\app\services\resource_ml_service.py                                                 | Python           |         51 |          3 |         21 |         75 |
| c:\Users\jyoti\emergecy\backend\app\services\task_service.py                                                        | Python           |         67 |          0 |         21 |         88 |
| c:\Users\jyoti\emergecy\backend\app\services\user_service.py                                                        | Python           |         54 |          6 |         15 |         75 |
